SalePrice(100K),Area,Bedrooms,Bathrooms,CarParks,PropertyType
3.93,147,3,2,2,0
3.95,404,4,2,2,0
4.325,604,4,3,2,0
2.9,590,3,1,2,0
3.85,724,3,1,4,0
3.835,783,2,1,1,1
5.91,123,2,2,1,1
2.29,420,4,2,2,0
2.45,1977,2,1,1,1
3.45,764,3,1,2,0
4.25,668,1,1,1,0
4.23,209,3,2,2,0
4.775,400,4,2,2,0
6.9,339,2,1,2,0
3.35,800,3,1,2,0
4,1915,2,1,0,1
7.65,634,2,1,1,0
9,383,3,1,1,0
4.199,349,3,2,2,0
5.35,156,2,1,1,1
7.45,465,2,1,1,0
5.11,392,3,1,1,1
4.22,554,3,2,2,0
3.76,1167,2,2,1,1
4.5,539,3,2,2,0
5.025,510,4,2,2,0
4.81055,645,4,2,2,0
3.57,614,3,1,1,0
4.51,825,2,1,1,1
8.425,315,3,2,2,0
3.1,548,3,1,1,0
4.05,374,3,2,2,0
3.65,448,3,2,2,0
8.5,546,3,2,2,0
5.05,1020,2,1,1,1
2.975,614,3,2,2,0
3.3,2832,1,1,1,1
4.95,576,4,2,2,0
5.45,187,2,1,1,1
12.86,412,3,1,2,0
13,902,3,2,2,0
3.65,300,3,2,1,0
2.95,273,1,1,1,1
2.85,603,3,1,2,0
5,797,2,1,1,1
3.5,439,4,2,2,0
5.15,3003,1,1,1,1
4.3,261,3,2,2,1
16.7,1018,4,3,2,0
7.01,238,3,2,2,1
2.7,750,3,1,2,0
4.67,502,3,1,1,0
15.49,184,3,2,1,0
17.6,340,4,3,1,0
4.57,587,4,2,2,0
5.56,761,2,1,2,1
6.65,678,3,2,2,0
3.85,300,3,1,1,0
15.4,402,3,2,2,0
8.85,154,2,1,1,0
4.41,616,4,2,2,0
8.75,669,3,1,2,0
4.8,512,4,2,2,0
4.8,863,4,2,2,0
4.05,420,4,2,2,0
8.54,142,3,2,2,1
3.15,273,2,1,1,1
3.1,1019,2,1,1,1
4.36,627,3,1,0,0
13.69,400,3,1,2,0
22.5,2838,2,2,2,1
4.56,584,3,2,2,0
3.83,2311,1,1,1,1
10.3,464,4,2,2,0
5.4,1001,4,2,4,0
19.5,373,3,3,2,0
2.77,270,2,1,1,1
4.795,512,4,2,2,0
3.5,568,4,2,2,0
9,1013,3,2,4,1
3.695,106,1,2,2,0
14.31,636,4,2,2,0
3.44,570,4,2,2,0
5.65002,313,4,2,2,0
6.65,193,3,2,1,0
3.2,659,4,2,2,0
3.975,2832,1,1,1,1
3.21,1003,2,1,1,1
3.425,676,3,1,2,0
6.4,142,3,2,1,1
5.2,797,3,2,1,0
4.50001,2321,1,1,1,1
